time,MP2.5,temperature_2m,relative_humidity_2m,mes,hora,dia_semana,MP2.5_imputado_media
2016-03-01 00:00:00+00:00,3.0,17.851,95.075165,3,0,1,0
2016-03-01 01:00:00+00:00,1.0,17.901001,95.98349,3,1,1,0
2016-03-01 02:00:00+00:00,18.0,17.951,95.38006,3,2,1,0
2016-03-01 03:00:00+00:00,17.0,17.851,96.28595,3,3,1,0
2016-03-01 04:00:00+00:00,10.0,17.901001,95.98349,3,4,1,0
2016-03-01 05:00:00+00:00,14.0,17.951,95.38006,3,5,1,0
2016-03-01 06:00:00+00:00,11.0,17.901001,96.287346,3,6,1,0
2016-03-01 07:00:00+00:00,13.0,17.651001,96.58561,3,7,1,0
2016-03-01 08:00:00+00:00,12.0,17.651001,95.67237,3,8,1,0
2016-03-01 09:00:00+00:00,14.0,17.601,96.278946,3,9,1,0
2016-03-01 10:00:00+00:00,13.0,17.651001,95.67237,3,10,1,0
2016-03-01 11:00:00+00:00,9.0,17.901001,96.287346,3,11,1,0
2016-03-01 12:00:00+00:00,18.0,18.301,97.51875,3,12,1,0
2016-03-01 13:00:00+00:00,17.0,18.901001,96.92088,3,13,1,0
2016-03-01 14:00:00+00:00,20.0,18.851,97.52903,3,14,1,0
2016-03-01 15:00:00+00:00,15.0,19.101,96.32066,3,15,1,0
2016-03-01 16:00:00+00:00,12.0,18.951,96.61888,3,16,1,0
2016-03-01 17:00:00+00:00,13.0,19.051,96.31929,3,17,1,0
2016-03-01 18:00:00+00:00,16.0,18.751,96.613785,3,18,1,0
2016-03-01 19:00:00+00:00,15.0,19.801,86.60016,3,19,1,0
2016-03-01 20:00:00+00:00,16.0,19.101,92.76073,3,20,1,0
2016-03-01 21:00:00+00:00,16.0,18.601,95.40248,3,21,1,0
2016-03-01 22:00:00+00:00,17.0,18.251,96.29713,3,22,1,0
2016-03-01 23:00:00+00:00,11.0,18.051,96.9011,3,23,1,0
2016-03-02 00:00:00+00:00,6.0,17.951,97.205025,3,0,2,0
2016-03-02 01:00:00+00:00,14.0,17.901001,97.819305,3,1,2,0
2016-03-02 02:00:00+00:00,9.0,17.801,98.12683,3,2,2,0
2016-03-02 03:00:00+00:00,7.0,17.801,97.50934,3,3,2,0
2016-03-02 04:00:00+00:00,18.0,17.651001,97.506485,3,4,2,0
2016-03-02 05:00:00+00:00,11.0,17.551,97.8135,3,5,2,0
2016-03-02 06:00:00+00:00,6.0,17.551,97.8135,3,6,2,0
2016-03-02 07:00:00+00:00,5.0,17.751,98.7473,3,7,2,0
2016-03-02 08:00:00+00:00,7.0,17.801,99.05953,3,8,2,0
2016-03-02 09:00:00+00:00,15.0,17.801,99.372154,3,9,2,0
2016-03-02 10:00:00+00:00,13.0,18.001,98.74967,3,10,2,0
2016-03-02 11:00:00+00:00,10.0,18.551,98.75489,3,11,2,0
2016-03-02 12:00:00+00:00,11.0,19.101,97.83901,3,12,2,0
2016-03-02 13:00:00+00:00,11.0,20.201,96.05208,3,13,2,0
2016-03-02 14:00:00+00:00,13.0,20.901001,91.14124,3,14,2,0
2016-03-02 15:00:00+00:00,8.0,22.601,83.955574,3,15,2,0
