time,MP2.5,temperature_2m,relative_humidity_2m
2016-03-01 00:00:00+00:00,3.0,17.851,95.075165
2016-03-01 01:00:00+00:00,1.0,17.901001,95.98349
2016-03-01 02:00:00+00:00,18.0,17.951,95.38006
2016-03-01 03:00:00+00:00,17.0,17.851,96.28595
2016-03-01 04:00:00+00:00,10.0,17.901001,95.98349
2016-03-01 05:00:00+00:00,14.0,17.951,95.38006
2016-03-01 06:00:00+00:00,11.0,17.901001,96.287346
2016-03-01 07:00:00+00:00,13.0,17.651001,96.58561
2016-03-01 08:00:00+00:00,12.0,17.651001,95.67237
2016-03-01 09:00:00+00:00,14.0,17.601,96.278946
2016-03-01 10:00:00+00:00,13.0,17.651001,95.67237
2016-03-01 11:00:00+00:00,9.0,17.901001,96.287346
2016-03-01 12:00:00+00:00,18.0,18.301,97.51875
2016-03-01 13:00:00+00:00,17.0,18.901001,96.92088
2016-03-01 14:00:00+00:00,20.0,18.851,97.52903
2016-03-01 15:00:00+00:00,15.0,19.101,96.32066
2016-03-01 16:00:00+00:00,12.0,18.951,96.61888
2016-03-01 17:00:00+00:00,13.0,19.051,96.31929
2016-03-01 18:00:00+00:00,16.0,18.751,96.613785
2016-03-01 19:00:00+00:00,15.0,19.801,86.60016
2016-03-01 20:00:00+00:00,16.0,19.101,92.76073
2016-03-01 21:00:00+00:00,16.0,18.601,95.40248
2016-03-01 22:00:00+00:00,17.0,18.251,96.29713
2016-03-01 23:00:00+00:00,11.0,18.051,96.9011
2016-03-02 00:00:00+00:00,6.0,17.951,97.205025
2016-03-02 01:00:00+00:00,14.0,17.901001,97.819305
2016-03-02 02:00:00+00:00,9.0,17.801,98.12683
2016-03-02 03:00:00+00:00,7.0,17.801,97.50934
2016-03-02 04:00:00+00:00,18.0,17.651001,97.506485
2016-03-02 05:00:00+00:00,11.0,17.551,97.8135
2016-03-02 06:00:00+00:00,6.0,17.551,97.8135
2016-03-02 07:00:00+00:00,5.0,17.751,98.7473
2016-03-02 08:00:00+00:00,7.0,17.801,99.05953
2016-03-02 09:00:00+00:00,15.0,17.801,99.372154
2016-03-02 10:00:00+00:00,13.0,18.001,98.74967
2016-03-02 11:00:00+00:00,10.0,18.551,98.75489
2016-03-02 12:00:00+00:00,11.0,19.101,97.83901
2016-03-02 13:00:00+00:00,11.0,20.201,96.05208
2016-03-02 14:00:00+00:00,13.0,20.901001,91.14124
2016-03-02 15:00:00+00:00,8.0,22.601,83.955574
2016-03-02 16:00:00+00:00,20.0,22.701,83.44766
2016-03-02 17:00:00+00:00,25.0,23.301,80.7217
2016-03-02 18:00:00+00:00,25.0,22.151001,84.1669
2016-03-02 19:00:00+00:00,30.0,21.551,87.035805
2016-03-02 20:00:00+00:00,11.0,21.101,89.46973
2016-03-02 21:00:00+00:00,4.0,20.401001,93.99231
2016-03-02 22:00:00+00:00,14.0,19.801,96.94162
2016-03-02 23:00:00+00:00,15.0,19.601,97.239586
2016-03-03 00:00:00+00:00,22.0,19.501,96.93473
2016-03-03 01:00:00+00:00,27.0,19.351,97.8431
2016-03-03 02:00:00+00:00,28.0,19.151001,98.452805
2016-03-03 03:00:00+00:00,22.0,18.801,98.757256
2016-03-03 04:00:00+00:00,20.0,18.601,98.44634
2016-03-03 05:00:00+00:00,15.0,18.601,97.52435
2016-03-03 06:00:00+00:00,13.0,18.351,97.21347
2016-03-03 07:00:00+00:00,7.0,18.851,97.83494
2016-03-03 08:00:00+00:00,8.0,18.701,97.52622
2016-03-03 09:00:00+00:00,14.0,18.801,96.01055
2016-03-03 10:00:00+00:00,14.0,19.301,93.64909
2016-03-03 11:00:00+00:00,7.0,20.001,91.36874
2016-03-03 12:00:00+00:00,9.0,20.451,89.98126
2016-03-03 13:00:00+00:00,6.0,20.601,89.71156
2016-03-03 14:00:00+00:00,11.0,20.701,89.71897
2016-03-03 15:00:00+00:00,4.0,21.151001,90.0317
2016-03-03 16:00:00+00:00,10.0,21.551,88.67433
2016-03-03 17:00:00+00:00,12.0,21.601,87.5834
2016-03-03 18:00:00+00:00,9.0,21.451,87.02662
2016-03-03 19:00:00+00:00,14.0,24.251,76.47356
2016-03-03 20:00:00+00:00,10.0,23.101,81.19802
