time,MP2.5,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-05-24 01:00:00+00:00,43.0,16.1,97.16548,0.4,3.2846913
2026-05-24 02:00:00+00:00,45.0,16.0,98.7304,0.9,5.3999996
2026-05-24 03:00:00+00:00,39.4,15.85,97.78497,0.2,7.8954163
2026-05-24 04:00:00+00:00,43.3,15.4,98.724525,0.2,3.4949677
2026-05-24 05:00:00+00:00,49.2,15.4,98.724525,0.6,2.0991426
2026-05-24 06:00:00+00:00,46.3,16.5,98.735245,1.3,5.692099
2026-05-24 07:00:00+00:00,40.9,16.1,98.731346,1.2,3.710795
2026-05-24 08:00:00+00:00,35.2,15.75,96.22648,5.7,2.6999998
2026-05-24 09:00:00+00:00,39.2,15.6,97.15466,2.7,4.6938252
2026-05-24 10:00:00+00:00,36.8,15.85,95.613205,6.3,0.9693296
2026-05-24 11:00:00+00:00,34.7,16.4,95.937805,5.8,0.9
2026-05-24 12:00:00+00:00,35.2,17.95,93.88226,2.6,3.244996
2026-05-24 13:00:00+00:00,40.0,19.95,82.865974,0.0,3.710795
2026-05-24 14:00:00+00:00,21.7,21.55,75.57036,0.0,3.3043609
2026-05-24 15:00:00+00:00,16.5,22.35,72.88748,0.1,7.0038276
2026-05-24 16:00:00+00:00,11.5,22.85,72.06081,0.2,9.473541
2026-05-24 17:00:00+00:00,15.0,21.2,79.68716,1.0,7.674842
2026-05-24 18:00:00+00:00,11.6,20.8,81.92786,0.5,5.771239
2026-05-24 19:00:00+00:00,22.5,20.5,82.931305,0.3,2.7416782
2026-05-24 20:00:00+00:00,28.7,19.7,87.69031,0.4,4.503598
2026-05-24 21:00:00+00:00,22.1,18.65,91.86212,0.3,6.1305785
2026-05-24 22:00:00+00:00,20.6,18.0,94.480934,0.1,2.4149535
2026-05-24 23:00:00+00:00,33.2,17.8,95.073296,0.3,2.16
2026-05-25 00:00:00+00:00,34.3,17.35,96.271904,0.3,2.6999998
2026-05-25 01:00:00+00:00,21.4,17.3,96.88346,2.1,5.5916004
2026-05-25 02:00:00+00:00,0.3,16.7,97.1784,0.2,11.328566
2026-05-25 03:00:00+00:00,0.0,15.55,97.153595,0.0,8.557102
2026-05-25 04:00:00+00:00,0.0,15.35,95.59658,0.0,6.489992
2026-05-25 05:00:00+00:00,0.0,15.25,94.97787,0.0,7.056826
2026-05-25 06:00:00+00:00,0.0,15.5,95.60158,0.0,5.5596404
2026-05-25 07:00:00+00:00,0.0,15.45,95.292244,0.0,5.6492476
2026-05-25 08:00:00+00:00,0.0,15.45,94.67952,0.0,5.2323985
2026-05-25 09:00:00+00:00,4.4,15.5,93.46689,0.0,4.5891175
2026-05-25 10:00:00+00:00,4.8,15.4,94.37235,0.0,2.7416782
2026-05-25 11:00:00+00:00,17.4,15.95,91.10834,0.0,3.189608
2026-05-25 12:00:00+00:00,30.2,17.1,86.61789,0.0,4.91634
2026-05-25 13:00:00+00:00,36.6,18.4,80.58264,0.2,5.3699164
2026-05-25 14:00:00+00:00,34.3,20.05,74.84542,0.0,5.12289
2026-05-25 15:00:00+00:00,33.0,21.7,68.49493,0.0,5.402999
2026-05-25 16:00:00+00:00,38.3,23.0,63.08568,0.0,3.671294
2026-05-25 17:00:00+00:00,39.9,23.15,62.917328,0.0,4.1046314
2026-05-25 18:00:00+00:00,44.4,22.15,69.24291,0.1,6.522361
2026-05-25 19:00:00+00:00,39.6,20.45,81.11084,0.1,10.4493065
2026-05-25 20:00:00+00:00,37.2,18.5,88.70504,0.0,10.766949
2026-05-25 21:00:00+00:00,38.9,17.2,93.549324,0.0,7.538541
2026-05-25 22:00:00+00:00,30.1,16.8,94.733284,0.0,7.596341
2026-05-25 23:00:00+00:00,25.7,16.4,96.55316,0.0,8.067936
2026-05-26 00:00:00+00:00,36.7,16.6,95.33294,0.0,4.510787
2026-05-26 01:00:00+00:00,23.6,16.6,94.72536,0.0,4.5536795
2026-05-26 02:00:00+00:00,28.2,16.55,95.026855,0.0,4.412754
2026-05-26 03:00:00+00:00,34.2,16.6,95.637985,0.0,4.3832865
2026-05-26 04:00:00+00:00,33.7,16.4,96.862114,0.0,3.3043609
2026-05-26 05:00:00+00:00,29.2,16.25,97.16873,0.0,3.4388947
2026-05-26 06:00:00+00:00,31.8,16.7,96.56096,0.0,4.3832865
2026-05-26 07:00:00+00:00,31.5,16.95,95.345215,0.0,5.020677
2026-05-26 08:00:00+00:00,33.5,16.9,95.95312,0.0,6.77575
2026-05-26 09:00:00+00:00,28.0,16.85,95.951584,0.0,7.0407386
2026-05-26 10:00:00+00:00,27.0,16.75,95.948524,0.0,6.090812
2026-05-26 11:00:00+00:00,26.9,17.2,92.95448,0.0,7.029225
2026-05-26 12:00:00+00:00,28.3,18.05,92.41082,0.0,6.804381
2026-05-26 13:00:00+00:00,33.0,19.6,84.684296,0.1,6.889557
2026-05-26 14:00:00+00:00,29.7,21.95,73.5128,0.0,7.256032
2026-05-26 15:00:00+00:00,25.8,23.1,72.56083,0.0,7.072878
2026-05-26 16:00:00+00:00,19.9,24.25,66.85893,0.0,7.2649574
2026-05-26 17:00:00+00:00,7.0,23.25,67.07854,0.1,11.230904
2026-05-26 18:00:00+00:00,7.7,25.65,54.690266,1.4,9.703319
2026-05-26 19:00:00+00:00,4.8,24.45,61.23041,0.1,7.5213294
2026-05-26 20:00:00+00:00,5.9,23.35,70.35667,0.0,3.7842832
2026-05-26 21:00:00+00:00,16.0,21.85,77.79555,0.0,2.9301877
2026-05-26 22:00:00+00:00,17.6,21.1,81.707695,0.0,4.5820518
2026-05-26 23:00:00+00:00,28.8,20.5,85.31589,0.0,3.710795
2026-05-27 00:00:00+00:00,35.2,20.0,84.72732,0.0,5.004518
2026-05-27 01:00:00+00:00,39.6,19.3,87.378204,0.0,3.7799997
2026-05-27 02:00:00+00:00,44.8,18.8,89.29357,0.0,2.4149535
2026-05-27 03:00:00+00:00,27.9,18.15,91.83216,0.0,4.613762
2026-05-27 04:00:00+00:00,25.3,17.65,92.978004,0.0,3.8183763
2026-05-27 05:00:00+00:00,32.4,17.1,94.4437,0.0,3.189608
2026-05-27 06:00:00+00:00,32.0,17.6,92.97539,0.0,2.4149535
2026-05-27 07:00:00+00:00,32.8,17.2,93.549324,0.0,0.742159
2026-05-27 08:00:00+00:00,35.2,17.0,95.651115,0.0,4.8733153
2026-05-27 09:00:00+00:00,38.3,16.5,96.555756,0.0,3.8141315
2026-05-27 10:00:00+00:00,40.0,16.4,97.171974,0.0,1.4058449
2026-05-27 11:00:00+00:00,41.0,17.45,96.580414,0.0,2.5772076
2026-05-27 12:00:00+00:00,38.8,19.2,89.89016,0.1,1.4512063
2026-05-27 13:00:00+00:00,18.3,21.15,79.93204,0.1,4.7657523
2026-05-27 14:00:00+00:00,6.9,22.1,74.47445,0.0,6.9527545
2026-05-27 15:00:00+00:00,7.2,22.2,72.40123,0.1,8.027677
2026-05-27 16:00:00+00:00,6.5,20.75,78.872116,0.5,11.304229
2026-05-27 17:00:00+00:00,4.1,19.85,82.330055,0.8,11.003581
2026-05-27 18:00:00+00:00,1.2,19.35,80.45193,0.1,11.276968
2026-05-27 19:00:00+00:00,0.6,18.25,83.19397,0.0,10.209348
2026-05-27 20:00:00+00:00,0.1,17.35,85.53421,0.0,8.649369
2026-05-27 21:00:00+00:00,1.8,16.55,87.69115,0.0,7.989243
2026-05-27 22:00:00+00:00,2.6,16.1,87.93537,0.0,6.778141
2026-05-27 23:00:00+00:00,0.0,15.6,88.177666,0.0,5.8298883
2026-05-28 00:00:00+00:00,0.6,15.6,89.33078,0.0,6.8541956
2026-05-28 01:00:00+00:00,0.2,14.9,91.93197,0.0,7.0774574
2026-05-28 02:00:00+00:00,0.1,14.65,91.916916,0.0,5.9834766
2026-05-28 03:00:00+00:00,0.9,14.75,90.43726,0.0,6.924738
2026-05-28 04:00:00+00:00,0.7,14.25,92.495155,0.0,5.0688457
2026-05-28 05:00:00+00:00,0.0,13.45,94.90886,0.0,3.8183763
