time,pm1,pm25,relativehumidity,temperature,um003
2026-06-03 03:00:00+00:00,1.6,3.7,63.0,18.1,316.0
2026-06-03 04:00:00+00:00,0.6,2.5,62.0,18.1,267.0
2026-06-03 05:00:00+00:00,0.0,0.3,63.0,18.1,151.0
2026-06-03 06:00:00+00:00,0.0,0.5,64.0,17.8,156.0
2026-06-03 07:00:00+00:00,0.7,2.8,63.0,18.0,274.0
2026-06-03 08:00:00+00:00,1.8,4.0,62.0,18.3,316.0
2026-06-03 09:00:00+00:00,1.1,3.1,62.0,18.2,271.0
2026-06-03 10:00:00+00:00,2.9,5.9,59.0,19.1,408.0
2026-06-03 11:00:00+00:00,2.7,5.3,53.0,20.8,403.0
2026-06-03 12:00:00+00:00,0.6,1.9,50.0,21.1,265.0
2026-06-03 13:00:00+00:00,0.5,2.1,48.0,21.5,284.0
2026-06-03 14:00:00+00:00,2.3,4.0,45.0,22.2,388.0
2026-06-03 15:00:00+00:00,2.6,4.7,46.0,21.8,402.0
2026-06-03 16:00:00+00:00,4.5,7.9,48.0,22.0,512.0
2026-06-03 17:00:00+00:00,6.0,9.9,49.0,21.8,585.0
2026-06-03 18:00:00+00:00,6.0,9.3,51.0,21.4,581.0
2026-06-03 19:00:00+00:00,10.6,19.1,52.0,21.1,774.0
2026-06-03 20:00:00+00:00,10.9,20.8,55.0,20.0,779.0
2026-06-03 21:00:00+00:00,9.1,19.0,56.0,20.0,711.0
2026-06-03 22:00:00+00:00,8.3,17.3,58.0,19.5,668.0
2026-06-03 23:00:00+00:00,11.6,25.1,59.0,19.0,796.0
2026-06-04 00:00:00+00:00,15.8,29.5,59.0,18.9,913.0
2026-06-04 01:00:00+00:00,6.7,14.8,59.0,18.9,591.0
2026-06-04 02:00:00+00:00,4.8,8.9,60.0,18.8,489.0
2026-06-04 03:00:00+00:00,4.5,8.4,60.0,18.5,480.0
2026-06-04 04:00:00+00:00,3.5,6.7,62.0,18.4,414.0
2026-06-04 05:00:00+00:00,3.9,7.5,61.0,18.3,440.0
2026-06-04 06:00:00+00:00,4.1,7.2,61.0,18.2,441.0
2026-06-04 07:00:00+00:00,3.1,6.1,62.0,18.2,396.0
2026-06-04 08:00:00+00:00,4.5,8.1,62.0,18.2,474.0
2026-06-04 09:00:00+00:00,5.4,9.9,63.0,18.0,522.0
2026-06-04 10:00:00+00:00,3.8,6.6,61.0,18.3,418.0
2026-06-04 11:00:00+00:00,3.7,7.0,59.0,19.0,434.0
2026-06-04 12:00:00+00:00,1.8,4.4,49.0,22.1,357.0
2026-06-04 13:00:00+00:00,4.5,8.1,47.0,22.5,513.0
2026-06-04 14:00:00+00:00,2.5,4.6,47.0,22.2,389.0
2026-06-04 15:00:00+00:00,0.1,0.8,48.0,21.6,208.0
2026-06-04 16:00:00+00:00,2.6,5.9,49.0,21.7,368.0
2026-06-04 17:00:00+00:00,7.1,15.3,51.0,21.6,626.0
2026-06-04 18:00:00+00:00,2.2,4.4,53.0,21.0,370.0
2026-06-04 19:00:00+00:00,0.9,2.6,57.0,20.1,286.0
2026-06-04 20:00:00+00:00,1.2,3.4,58.0,19.6,297.0
2026-06-04 21:00:00+00:00,4.4,8.9,59.0,19.3,466.0
2026-06-04 22:00:00+00:00,4.0,8.8,58.0,19.1,438.0
2026-06-04 23:00:00+00:00,1.5,3.9,59.0,18.8,296.0
2026-06-05 00:00:00+00:00,0.6,3.2,59.0,18.6,260.0
2026-06-05 01:00:00+00:00,0.0,0.8,58.0,18.5,169.0
2026-06-05 02:00:00+00:00,0.5,2.8,59.0,18.4,251.0
2026-06-05 03:00:00+00:00,0.9,3.6,60.0,18.3,280.0
2026-06-05 04:00:00+00:00,1.3,4.1,60.0,18.2,309.0
2026-06-05 05:00:00+00:00,1.1,3.9,59.0,17.9,301.0
2026-06-05 06:00:00+00:00,1.5,3.7,59.0,17.7,305.0
2026-06-05 07:00:00+00:00,0.4,2.5,60.0,17.3,240.0
2026-06-05 08:00:00+00:00,0.6,2.8,60.0,17.3,262.0
2026-06-05 09:00:00+00:00,0.2,2.0,58.0,17.7,237.0
2026-06-05 10:00:00+00:00,0.7,2.2,55.0,18.7,256.0
2026-06-05 11:00:00+00:00,0.2,1.1,47.0,21.2,198.0
2026-06-05 12:00:00+00:00,0.2,0.9,43.0,22.6,213.0
2026-06-05 13:00:00+00:00,0.0,0.1,42.0,22.3,118.0
2026-06-05 14:00:00+00:00,0.0,0.0,43.0,21.5,102.0
2026-06-05 15:00:00+00:00,0.0,0.0,43.0,21.2,94.0
2026-06-05 16:00:00+00:00,0.0,0.0,42.0,21.6,116.0
2026-06-05 17:00:00+00:00,0.2,0.7,43.0,21.9,192.0
2026-06-05 18:00:00+00:00,0.0,0.9,46.0,21.8,242.0
2026-06-05 19:00:00+00:00,0.1,0.8,48.0,21.0,230.0
2026-06-05 20:00:00+00:00,2.9,4.7,52.0,19.5,394.0
2026-06-05 21:00:00+00:00,8.0,14.5,57.0,18.5,655.0
2026-06-05 22:00:00+00:00,12.0,22.0,58.0,18.3,802.0
2026-06-05 23:00:00+00:00,11.8,22.5,59.0,18.1,791.0
2026-06-06 00:00:00+00:00,13.8,23.5,57.0,18.7,844.0
2026-06-06 01:00:00+00:00,13.3,23.2,56.0,18.8,839.0
2026-06-06 02:00:00+00:00,10.6,18.7,54.0,19.1,731.0
2026-06-06 03:00:00+00:00,14.9,26.4,56.0,18.6,886.0
2026-06-06 04:00:00+00:00,7.5,16.2,57.0,18.0,633.0
2026-06-06 05:00:00+00:00,12.5,25.5,56.0,18.5,817.0
2026-06-06 06:00:00+00:00,8.7,20.5,55.0,18.6,690.0
2026-06-06 07:00:00+00:00,15.9,27.7,55.0,18.4,891.0
2026-06-06 08:00:00+00:00,17.1,29.8,55.0,18.1,943.0
2026-06-06 09:00:00+00:00,18.9,32.8,56.0,17.8,1050.0
2026-06-06 10:00:00+00:00,27.4,45.5,55.0,18.2,1650.0
2026-06-06 11:00:00+00:00,19.7,33.9,50.0,19.7,1280.0
2026-06-06 12:00:00+00:00,7.5,18.6,42.0,23.5,668.0
2026-06-06 13:00:00+00:00,7.5,17.7,39.0,24.5,669.0
2026-06-06 14:00:00+00:00,5.6,11.6,37.0,25.3,577.0
2026-06-06 15:00:00+00:00,7.0,14.8,37.0,24.5,637.0
2026-06-06 16:00:00+00:00,9.7,18.3,36.0,24.0,741.0
2026-06-06 17:00:00+00:00,16.4,26.1,36.0,23.9,1020.0
2026-06-06 18:00:00+00:00,6.8,13.1,35.0,23.9,647.0
2026-06-06 19:00:00+00:00,8.1,16.7,37.0,23.7,705.0
2026-06-06 20:00:00+00:00,9.1,17.4,38.0,23.1,725.0
2026-06-06 21:00:00+00:00,15.1,23.9,40.0,22.4,890.0
2026-06-06 22:00:00+00:00,17.6,27.1,40.0,22.3,1130.0
2026-06-06 23:00:00+00:00,27.8,40.8,42.0,21.5,1850.0
2026-06-07 00:00:00+00:00,30.4,44.3,44.0,21.0,2130.0
2026-06-07 01:00:00+00:00,30.4,45.1,46.0,20.7,2170.0
2026-06-07 02:00:00+00:00,32.0,47.1,47.0,20.5,2350.0
2026-06-07 03:00:00+00:00,30.0,44.1,49.0,20.2,2090.0
2026-06-07 04:00:00+00:00,31.2,45.8,50.0,20.0,2230.0
2026-06-07 05:00:00+00:00,31.0,45.6,51.0,19.7,2170.0
2026-06-07 06:00:00+00:00,33.7,50.1,51.0,19.4,2520.0
2026-06-07 07:00:00+00:00,36.8,54.3,51.0,19.1,2780.0
2026-06-07 08:00:00+00:00,36.6,54.0,51.0,18.9,2780.0
2026-06-07 09:00:00+00:00,35.0,52.3,51.0,18.8,2620.0
2026-06-07 10:00:00+00:00,34.3,50.8,49.0,19.8,2590.0
2026-06-07 11:00:00+00:00,33.1,48.8,39.0,24.4,2510.0
2026-06-07 12:00:00+00:00,31.3,46.7,36.0,26.1,2250.0
2026-06-07 13:00:00+00:00,20.9,31.2,33.0,26.4,1300.0
2026-06-07 14:00:00+00:00,16.1,24.8,31.0,25.8,973.0
2026-06-07 15:00:00+00:00,13.3,22.4,30.0,25.4,848.0
2026-06-07 16:00:00+00:00,10.7,20.5,30.0,24.9,792.0
2026-06-07 17:00:00+00:00,6.6,12.4,31.0,24.9,628.0
2026-06-07 18:00:00+00:00,6.3,11.5,30.0,25.1,607.0
2026-06-07 19:00:00+00:00,4.9,8.0,31.0,25.5,525.0
2026-06-07 20:00:00+00:00,19.6,27.9,41.0,23.8,1140.0
2026-06-07 21:00:00+00:00,24.7,35.4,48.0,22.0,1510.0
2026-06-07 22:00:00+00:00,24.5,35.3,49.0,21.6,1490.0
2026-06-07 23:00:00+00:00,16.9,24.8,47.0,22.2,984.0
2026-06-08 00:00:00+00:00,17.6,25.2,46.0,22.6,992.0
2026-06-08 01:00:00+00:00,18.9,26.3,46.0,22.5,1020.0
2026-06-08 02:00:00+00:00,20.1,27.6,46.0,22.4,1080.0
2026-06-08 03:00:00+00:00,18.0,26.7,47.0,21.3,1090.0
2026-06-08 04:00:00+00:00,8.6,16.1,47.0,20.7,700.0
2026-06-08 05:00:00+00:00,6.1,11.1,46.0,21.1,595.0
2026-06-08 06:00:00+00:00,6.0,10.6,45.0,21.3,592.0
2026-06-08 07:00:00+00:00,7.1,13.9,44.0,21.3,646.0
2026-06-08 08:00:00+00:00,12.4,21.3,44.0,21.0,865.0
2026-06-08 09:00:00+00:00,19.9,28.8,47.0,20.1,1130.0
2026-06-08 10:00:00+00:00,23.8,34.5,43.0,21.7,1450.0
2026-06-08 11:00:00+00:00,27.1,40.0,39.0,23.3,1750.0
2026-06-08 12:00:00+00:00,27.0,40.4,39.0,23.3,1740.0
2026-06-08 13:00:00+00:00,24.4,36.0,35.0,24.9,1490.0
2026-06-08 14:00:00+00:00,21.2,30.1,32.0,25.7,1200.0
2026-06-08 15:00:00+00:00,15.5,23.5,31.0,25.5,926.0
2026-06-08 16:00:00+00:00,3.2,5.7,32.0,24.4,422.0
2026-06-08 17:00:00+00:00,2.6,4.5,32.0,23.8,406.0
2026-06-08 18:00:00+00:00,2.0,3.6,31.0,24.9,360.0
2026-06-08 19:00:00+00:00,2.3,4.3,31.0,24.2,395.0
2026-06-08 20:00:00+00:00,11.8,17.8,34.0,23.2,790.0
2026-06-08 21:00:00+00:00,20.6,27.3,35.0,23.0,1110.0
2026-06-08 22:00:00+00:00,23.4,33.5,36.0,23.2,1420.0
2026-06-08 23:00:00+00:00,26.0,37.2,37.0,22.9,1660.0
2026-06-09 00:00:00+00:00,26.3,37.6,38.0,22.4,1650.0
2026-06-09 01:00:00+00:00,28.8,41.7,39.0,22.3,1940.0
2026-06-09 02:00:00+00:00,30.0,43.6,40.0,21.8,2090.0
2026-06-09 03:00:00+00:00,32.0,46.4,41.0,21.3,2360.0
2026-06-09 04:00:00+00:00,34.0,49.5,43.0,20.9,2620.0
2026-06-09 05:00:00+00:00,37.4,52.8,45.0,20.5,2930.0
2026-06-09 06:00:00+00:00,40.1,56.2,46.0,20.2,3130.0
2026-06-09 07:00:00+00:00,45.3,64.6,47.0,20.0,3490.0
2026-06-09 08:00:00+00:00,35.4,51.1,47.0,19.7,2720.0
2026-06-09 09:00:00+00:00,31.6,45.7,46.0,19.7,2230.0
2026-06-09 10:00:00+00:00,31.2,45.4,45.0,20.2,2230.0
2026-06-09 11:00:00+00:00,30.4,44.4,39.0,23.9,2160.0
2026-06-09 12:00:00+00:00,29.7,43.1,36.0,24.8,2060.0
2026-06-09 13:00:00+00:00,22.8,32.4,34.0,25.0,1340.0
2026-06-09 14:00:00+00:00,14.7,23.6,34.0,25.1,920.0
2026-06-09 15:00:00+00:00,10.6,18.7,35.0,24.2,792.0
2026-06-09 16:00:00+00:00,6.5,11.8,35.0,23.5,632.0
2026-06-09 17:00:00+00:00,6.5,11.4,34.0,23.4,618.0
2026-06-09 18:00:00+00:00,6.9,12.1,34.0,23.5,641.0
2026-06-09 19:00:00+00:00,5.6,8.8,34.0,23.5,577.0
2026-06-09 20:00:00+00:00,8.9,16.3,36.0,22.9,730.0
2026-06-09 21:00:00+00:00,10.2,18.4,37.0,22.8,779.0
2026-06-09 22:00:00+00:00,20.1,28.6,38.0,23.2,1240.0
2026-06-09 23:00:00+00:00,19.7,26.6,38.0,23.1,1070.0
2026-06-10 00:00:00+00:00,21.8,30.5,40.0,22.6,1240.0
2026-06-10 01:00:00+00:00,23.9,34.0,40.0,22.7,1470.0
2026-06-10 02:00:00+00:00,26.7,38.7,40.0,22.1,1720.0
2026-06-10 03:00:00+00:00,27.3,39.3,41.0,21.8,1730.0
2026-06-10 04:00:00+00:00,26.9,38.9,42.0,21.2,1730.0
2026-06-10 05:00:00+00:00,31.4,46.0,44.0,20.9,2260.0
2026-06-10 06:00:00+00:00,32.2,47.0,45.0,21.1,2360.0
2026-06-10 07:00:00+00:00,40.1,58.9,47.0,20.9,3120.0
2026-06-10 08:00:00+00:00,40.6,58.9,49.0,20.5,3170.0
2026-06-10 09:00:00+00:00,36.7,54.1,50.0,20.4,2780.0
2026-06-10 10:00:00+00:00,30.1,44.3,46.0,21.7,2110.0
2026-06-10 11:00:00+00:00,28.8,42.2,41.0,23.8,1940.0
2026-06-10 12:00:00+00:00,31.2,46.7,41.0,23.3,2240.0
2026-06-10 13:00:00+00:00,48.7,73.7,39.0,23.8,3730.0
2026-06-10 14:00:00+00:00,32.2,48.4,38.0,24.0,2350.0
2026-06-10 15:00:00+00:00,26.4,39.3,36.0,24.8,1630.0
2026-06-10 16:00:00+00:00,24.8,36.5,37.0,24.9,1510.0
2026-06-10 17:00:00+00:00,29.8,44.3,44.0,24.5,2100.0
2026-06-10 18:00:00+00:00,37.8,58.3,48.0,23.1,2820.0
2026-06-10 19:00:00+00:00,33.5,53.5,54.0,21.1,2530.0
2026-06-10 20:00:00+00:00,30.0,48.4,58.0,20.4,2060.0
2026-06-10 21:00:00+00:00,27.3,43.9,58.0,20.4,1730.0
2026-06-10 22:00:00+00:00,24.0,39.0,61.0,20.1,1440.0
2026-06-10 23:00:00+00:00,24.9,40.3,59.0,20.9,1530.0
2026-06-11 00:00:00+00:00,26.4,41.6,54.0,22.9,1640.0
2026-06-11 01:00:00+00:00,26.0,40.4,51.0,23.5,1610.0
2026-06-11 02:00:00+00:00,21.3,32.2,52.0,22.0,1230.0
2026-06-11 03:00:00+00:00,20.2,30.0,55.0,20.9,1100.0
2026-06-11 04:00:00+00:00,20.9,31.0,57.0,20.8,1140.0
2026-06-11 05:00:00+00:00,22.1,33.7,57.0,20.8,1260.0
