,MP2.5,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2013-05-09 03:00:00+00:00,26.0,10.301001,91.64832,0.0,7.42159
2013-05-09 04:00:00+00:00,21.0,9.751,92.54831,0.0,7.9932976
2013-05-09 05:00:00+00:00,20.0,9.401,92.52839,0.0,7.928178
2013-05-09 06:00:00+00:00,18.0,9.251,92.519806,0.0,7.2805495
2013-05-09 07:00:00+00:00,20.0,9.851,91.31025,0.0,6.28713
2013-05-09 08:00:00+00:00,20.0,9.701,92.2328,0.0,6.2145634
2013-05-09 09:00:00+00:00,14.0,9.551001,92.85089,0.0,6.489992
2013-05-09 10:00:00+00:00,18.0,9.501,93.47913,0.0,7.208994
2013-05-09 11:00:00+00:00,21.0,11.001,91.69244,0.0,5.4477882
2013-05-09 12:00:00+00:00,21.0,15.001,72.76109,0.0,4.829907
2013-05-09 13:00:00+00:00,30.0,17.601,57.46247,0.0,4.8965297
2013-05-09 14:00:00+00:00,31.0,19.551,44.24886,0.0,4.1046314
2013-05-09 15:00:00+00:00,27.0,20.851,36.82282,0.0,3.2599385
2013-05-09 16:00:00+00:00,24.0,21.651001,33.51131,0.0,4.39436
2013-05-09 17:00:00+00:00,31.0,22.051,32.702904,0.0,6.696387
2013-05-09 18:00:00+00:00,42.0,21.951,34.423367,0.0,8.891343
2013-05-09 19:00:00+00:00,38.0,20.751,43.538223,0.0,10.685391
2013-05-09 20:00:00+00:00,39.0,19.001,57.808468,0.0,9.793059
2013-05-09 21:00:00+00:00,32.0,16.751,73.07539,0.0,5.904439
2013-05-09 22:00:00+00:00,29.0,15.351,84.76952,0.0,5.904439
2013-05-09 23:00:00+00:00,21.0,14.101,93.39789,0.0,7.145796
2013-05-10 00:00:00+00:00,12.0,13.251,97.103,0.0,5.904439
2013-05-10 01:00:00+00:00,3.0,12.351,99.34516,0.0,4.8433046
2013-05-10 02:00:00+00:00,39.0,11.951,99.671074,0.0,4.3349743
2013-05-10 03:00:00+00:00,32.0,11.601,99.670166,0.0,3.8939953
2013-05-10 04:00:00+00:00,23.0,11.401,99.66966,0.0,3.0547013
2013-05-10 05:00:00+00:00,18.0,11.201,99.339226,0.0,4.5820518
2013-05-10 06:00:00+00:00,20.0,10.801001,99.33716,0.0,5.0911684
2013-05-10 07:00:00+00:00,32.0,10.701,98.348854,0.0,5.0911684
2013-05-10 08:00:00+00:00,26.0,10.551001,98.01922,0.0,4.39436
2013-05-10 09:00:00+00:00,20.0,10.601,98.01999,0.0,4.8965297
2013-05-10 10:00:00+00:00,26.0,10.751,97.69607,0.0,7.928177
2013-05-10 11:00:00+00:00,25.0,12.201,90.55523,0.0,7.42159
2013-05-10 12:00:00+00:00,25.0,14.801001,77.223465,0.0,7.628263
2013-05-10 13:00:00+00:00,29.0,17.651001,64.39778,0.0,9.0
2013-05-10 14:00:00+00:00,28.0,19.751,55.542152,0.0,9.826088
2013-05-10 15:00:00+00:00,25.0,21.101,50.25803,0.0,9.885262
2013-05-10 16:00:00+00:00,26.0,21.851,47.84267,0.0,9.255571
2013-05-10 17:00:00+00:00,33.0,22.151001,47.447758,0.0,8.654986
2013-05-10 18:00:00+00:00,30.0,22.001,49.175426,0.0,9.178235
2013-05-10 19:00:00+00:00,47.0,21.451,52.74517,0.0,11.090103
2013-05-10 20:00:00+00:00,39.0,19.901001,63.420998,0.0,10.703569
2013-05-10 21:00:00+00:00,26.0,17.701,76.66631,0.0,8.0899935
2013-05-10 22:00:00+00:00,16.0,16.251,87.66446,0.0,6.297428
2013-05-10 23:00:00+00:00,0.0,15.301001,94.36814,0.0,4.6800003
