index,start,inicio_previsao,fim_previsao,mes,n_obs,mae_lstm,rmse_lstm,mae_baseline,melhora_mae_%
0,0,2019-01-01 00:00:00+00:00,2019-01-01 23:00:00+00:00,2019-01,24,14.182589,19.478207,18.166667,21.930703
1,168,2019-01-08 00:00:00+00:00,2019-01-08 23:00:00+00:00,2019-01,24,6.288872,7.273398,6.666667,5.666919
2,336,2019-01-15 00:00:00+00:00,2019-01-15 23:00:00+00:00,2019-01,24,8.914305,11.345972,9.666667,7.783052
3,504,2019-01-22 00:00:00+00:00,2019-01-22 23:00:00+00:00,2019-01,24,7.335151,8.917908,12.500000,41.174792
4,672,2019-01-29 00:00:00+00:00,2019-01-29 23:00:00+00:00,2019-01,24,6.403906,7.620493,10.791667,40.658783
5,840,2019-02-05 00:00:00+00:00,2019-02-05 23:00:00+00:00,2019-02,24,2.671307,3.605954,4.500000,40.637621
6,1008,2019-02-12 00:00:00+00:00,2019-02-12 23:00:00+00:00,2019-02,24,4.775656,5.751495,4.708333,-1.429860
7,1176,2019-02-19 00:00:00+00:00,2019-02-19 23:00:00+00:00,2019-02,24,6.801981,7.965143,7.791667,12.701842
8,1344,2019-02-26 00:00:00+00:00,2019-02-26 23:00:00+00:00,2019-02,24,7.441730,8.375819,5.208333,-42.881218
9,1512,2019-03-05 00:00:00+00:00,2019-03-05 23:00:00+00:00,2019-03,24,6.944303,8.702551,6.875000,-1.008049
10,1680,2019-03-12 00:00:00+00:00,2019-03-12 23:00:00+00:00,2019-03,24,8.177940,10.160569,9.208333,11.189787
11,1848,2019-03-19 00:00:00+00:00,2019-03-19 23:00:00+00:00,2019-03,24,5.164510,5.832763,4.208333,-22.721035
12,2016,2019-03-26 00:00:00+00:00,2019-03-26 23:00:00+00:00,2019-03,24,5.999652,7.538777,8.250000,27.276950
13,2184,2019-04-02 00:00:00+00:00,2019-04-02 23:00:00+00:00,2019-04,24,7.215614,8.516429,6.208333,-16.224651
14,2352,2019-04-09 00:00:00+00:00,2019-04-09 23:00:00+00:00,2019-04,24,2.010348,2.450525,3.750000,46.390718
15,2520,2019-04-16 00:00:00+00:00,2019-04-16 23:00:00+00:00,2019-04,24,9.213981,10.201324,6.458333,-42.668098
16,2688,2019-04-23 00:00:00+00:00,2019-04-23 23:00:00+00:00,2019-04,24,6.741338,8.864741,12.041667,44.016572
17,2856,2019-04-30 00:00:00+00:00,2019-04-30 23:00:00+00:00,2019-04,24,5.833333,8.406017,7.250000,19.540230
18,3024,2019-05-07 00:00:00+00:00,2019-05-07 23:00:00+00:00,2019-05,24,8.503300,11.230084,10.333333,17.710004
19,3192,2019-05-14 00:00:00+00:00,2019-05-14 23:00:00+00:00,2019-05,24,9.330001,10.702207,11.708333,20.313155
20,3360,2019-05-21 00:00:00+00:00,2019-05-21 23:00:00+00:00,2019-05,24,9.120585,11.200514,7.333333,-24.371616
21,3528,2019-05-28 00:00:00+00:00,2019-05-28 23:00:00+00:00,2019-05,24,12.231223,15.350667,15.000000,18.458512
22,3696,2019-06-04 00:00:00+00:00,2019-06-04 23:00:00+00:00,2019-06,24,6.164744,7.024978,6.125000,-0.648878
23,3864,2019-06-11 00:00:00+00:00,2019-06-11 23:00:00+00:00,2019-06,24,7.898173,10.147259,14.416667,45.214984
24,4032,2019-06-18 00:00:00+00:00,2019-06-18 23:00:00+00:00,2019-06,24,9.436654,10.679876,7.541667,-25.126898
25,4200,2019-06-25 00:00:00+00:00,2019-06-25 23:00:00+00:00,2019-06,24,8.458333,9.640585,4.875000,-73.504274
26,4368,2019-07-02 00:00:00+00:00,2019-07-02 23:00:00+00:00,2019-07,24,15.324820,18.000438,7.166667,-113.834694
27,4536,2019-07-09 00:00:00+00:00,2019-07-09 23:00:00+00:00,2019-07,24,10.509152,12.047641,6.125000,-71.577987
28,4704,2019-07-16 00:00:00+00:00,2019-07-16 23:00:00+00:00,2019-07,24,12.120828,13.352215,15.083333,19.097447
29,4872,2019-07-23 00:00:00+00:00,2019-07-23 23:00:00+00:00,2019-07,24,12.108038,14.229460,12.166667,0.481882
30,5040,2019-07-30 00:00:00+00:00,2019-07-30 23:00:00+00:00,2019-07,24,3.781687,5.190758,10.791667,64.957338
31,5208,2019-08-06 00:00:00+00:00,2019-08-06 23:00:00+00:00,2019-08,24,4.577778,5.679390,2.391270,-91.437106
32,5376,2019-09-13 00:00:00+00:00,2019-09-13 23:00:00+00:00,2019-08,24,28.462756,35.176286,31.000000,8.184658
