start,inicio_previsao,fim_previsao,n_obs,mae,rmse,r2
0,2018-01-01 00:00:00+00:00,2018-01-01 23:00:00+00:00,24,5.362541066497959,6.983352671060143,-0.1193431188826472
504,2018-01-22 00:00:00+00:00,2018-01-22 23:00:00+00:00,24,5.334280925809542,7.136885308115984,-0.4658324244362841
1008,2018-02-12 00:00:00+00:00,2018-02-12 23:00:00+00:00,24,4.970775006708739,5.806844184912741,0.108696384406203
1512,2018-03-05 00:00:00+00:00,2018-03-05 23:00:00+00:00,24,6.535146954695493,8.74165046597216,-0.5749204541533284
2016,2018-03-26 00:00:00+00:00,2018-03-26 23:00:00+00:00,24,7.759705807142452,8.983535822583104,0.0328224300529488
2520,2018-04-16 00:00:00+00:00,2018-04-16 23:00:00+00:00,24,4.497274943232081,5.477146023183332,-0.4462251464798499
3024,2018-05-07 00:00:00+00:00,2018-05-07 23:00:00+00:00,24,7.327687849363467,9.087576934640593,-3.404890769217032
3528,2018-05-28 00:00:00+00:00,2018-05-28 23:00:00+00:00,24,6.464051938735584,7.719157753256317,-0.9204962418288009
4536,2018-07-09 00:00:00+00:00,2018-07-09 23:00:00+00:00,24,24.26835076271438,29.425052714316525,-0.9159808174971336
5040,2018-07-30 00:00:00+00:00,2018-07-30 23:00:00+00:00,24,19.48172904370242,22.267345918221004,0.2820059936164397
5544,2018-08-20 00:00:00+00:00,2018-08-20 23:00:00+00:00,24,6.9494887209955465,8.213628886130989,0.07124543738161593
6048,2018-09-10 00:00:00+00:00,2018-09-10 23:00:00+00:00,24,5.635811634315734,6.389413295057268,0.07610518234671404
6552,2018-10-01 00:00:00+00:00,2018-10-01 23:00:00+00:00,24,5.387930543749969,6.645197924153809,-1.0485974178381592
7560,2018-11-12 00:00:00+00:00,2018-11-12 23:00:00+00:00,24,9.781124715902815,11.242323765471577,-0.9190865939387827
8064,2018-12-03 00:00:00+00:00,2018-12-03 23:00:00+00:00,24,5.090134368310832,6.912264719357701,0.020711794289760332
