start,inicio_previsao,fim_previsao,mes,n_obs,mae_sarimax,rmse_sarimax,r2_sarimax,mae_baseline,rmse_baseline,r2_baseline,melhora_mae_%,melhora_rmse_%
0,2018-01-01 00:00:00+00:00,2018-01-01 23:00:00+00:00,2018-01,24,4.604574301846009,6.1268142717635925,0.1384019367397823,5.375,7.5360245930242735,-0.3035265989240885,14.333501361004485,18.69965130640786
504,2018-01-22 00:00:00+00:00,2018-01-22 23:00:00+00:00,2018-01,24,5.185354199821288,6.745654685268711,-0.3095289387231239,8.666666666666666,11.210114480533491,-2.6164876342742946,40.16899000206206,39.82528281060262
1008,2018-02-12 00:00:00+00:00,2018-02-12 23:00:00+00:00,2018-02,24,4.454395973965686,5.774452525412305,0.11861236594435509,6.291666666666667,7.305819598101229,-0.4108576935432058,29.20165339392288,20.960920977119713
1512,2018-03-05 00:00:00+00:00,2018-03-05 23:00:00+00:00,2018-03,24,5.144798636762008,7.099511671450288,-0.03879225706604772,7.958333333333333,10.370229827089979,-1.2164018892228423,35.35331555901141,31.539495364853423
2016,2018-03-26 00:00:00+00:00,2018-03-26 23:00:00+00:00,2018-03,24,8.455676470541265,9.668564936265858,-0.12030337693924276,8.958333333333334,11.588428136148002,-0.6093876786717434,5.611053352097513,16.567071714355105
2520,2018-04-16 00:00:00+00:00,2018-04-16 23:00:00+00:00,2018-04,24,6.404359478308559,7.621930947075115,-1.80064001209418,4.416666666666667,5.400617248673217,-0.4060930699698695,-45.00436554660888,-41.13073739761162
3024,2018-05-07 00:00:00+00:00,2018-05-07 23:00:00+00:00,2018-05,24,7.028475474173447,8.729249573419823,-3.0643655629473923,8.666666666666666,11.265729744080792,-5.769515695897769,18.902206067229447,22.515009930836296
3528,2018-05-28 00:00:00+00:00,2018-05-28 23:00:00+00:00,2018-05,24,5.711216283406731,6.932179162137702,-0.5488636433955723,7.375,8.580501150865256,-1.3730065469195902,22.559779208044322,19.210089944004466
4536,2018-07-09 00:00:00+00:00,2018-07-09 23:00:00+00:00,2018-07,24,18.1354301000528,20.873708164434056,0.03582498741980622,23.541666666666668,28.085435134009703,-0.7454964559442172,22.96454470774032,25.677818182858406
5040,2018-07-30 00:00:00+00:00,2018-07-30 23:00:00+00:00,2018-07,24,16.309789749686587,20.063180407723095,0.4171142154128,16.875,21.73802352254378,0.3157354893206227,3.349394075931337,7.704670634309331
5544,2018-08-20 00:00:00+00:00,2018-08-20 23:00:00+00:00,2018-08,24,7.8377124000282405,9.81120785770883,-0.3251827099724778,9.958333333333334,12.401276815984177,-1.117208413001912,21.29493824239424,20.88550232938089
6048,2018-09-10 00:00:00+00:00,2018-09-10 23:00:00+00:00,2018-09,24,4.894975301941005,6.0227104111065115,0.17911081875981305,8.958333333333334,10.783861398713666,-1.6317774634606317,45.358415234146925,44.150706426689425
6552,2018-10-01 00:00:00+00:00,2018-10-01 23:00:00+00:00,2018-10,24,5.487789418430483,6.923655556732684,-1.223881734095249,5.25,6.461423991660043,-0.9368556701030926,-4.529322255818731,-7.153710477276489
7560,2018-11-12 00:00:00+00:00,2018-11-12 23:00:00+00:00,2018-11,24,10.406507595498605,11.899271009805705,-1.1499239943410107,9.125,10.655593210453684,-0.7240015816528271,-14.043918854779228,-11.671596079061175
